id,customer_id,slot_id,date,sport,price,discount
BK0001,CUST0097,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0002,CUST0039,SL0370,2026-09-12,Box Cricket,1200.0,0.0
BK0003,CUST0028,SL0568,2026-09-15,Box Cricket,1200.0,0.0
BK0004,CUST0087,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0005,CUST0002,SL0108,2026-09-08,Tennis,600.0,0.0
BK0006,CUST0024,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0007,CUST0021,SL0008,2026-09-07,Box Cricket,840.0,30.0
BK0008,CUST0013,SL0032,2026-09-07,Badminton,280.0,30.0
BK0009,CUST0129,SL0560,2026-09-15,Tennis,600.0,0.0
BK0010,CUST0073,SL0361,2026-09-12,Tennis,600.0,0.0
BK0011,CUST0057,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0012,CUST0088,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0013,CUST0120,SL0165,2026-09-09,Football (5-a-side),900.0,0.0
BK0014,CUST0012,SL0196,2026-09-10,Box Cricket,1200.0,0.0
BK0015,CUST0066,SL0252,2026-09-10,Futsal,850.0,0.0
BK0016,CUST0127,SL0602,2026-09-16,Badminton,400.0,0.0
BK0017,CUST0108,SL0123,2026-09-08,Futsal,850.0,0.0
BK0018,CUST0080,SL0031,2026-09-07,Badminton,400.0,0.0
BK0019,CUST0028,SL0136,2026-09-09,Box Cricket,1200.0,0.0
BK0020,CUST0040,SL0307,2026-09-11,Box Cricket,1200.0,0.0
BK0021,CUST0104,SL0503,2026-09-14,Box Cricket,1200.0,0.0
BK0022,CUST0027,SL0121,2026-09-08,Futsal,850.0,0.0
BK0023,CUST0042,SL0555,2026-09-15,Tennis,600.0,0.0
BK0024,CUST0064,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0025,CUST0065,SL0554,2026-09-15,Tennis,600.0,0.0
BK0026,CUST0117,SL0140,2026-09-09,Football (5-a-side),900.0,0.0
BK0027,CUST0108,SL0508,2026-09-14,Futsal,850.0,0.0
BK0028,CUST0051,SL0366,2026-09-12,Tennis,600.0,0.0
BK0029,CUST0027,SL0008,2026-09-07,Box Cricket,840.0,30.0
BK0030,CUST0079,SL0234,2026-09-10,Tennis,600.0,0.0
BK0031,CUST0142,SL0130,2026-09-09,Box Cricket,1200.0,0.0
BK0032,CUST0090,SL0249,2026-09-10,Futsal,850.0,0.0
BK0033,CUST0014,SL0346,2026-09-12,Badminton,400.0,0.0
BK0034,CUST0131,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0035,CUST0122,SL0174,2026-09-09,Tennis,600.0,0.0
BK0036,CUST0047,SL0005,2026-09-07,Box Cricket,1200.0,0.0
BK0037,CUST0128,SL0436,2026-09-13,Box Cricket,1200.0,0.0
BK0038,CUST0069,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0039,CUST0088,SL0126,2026-09-08,Futsal,850.0,0.0
BK0040,CUST0092,SL0240,2026-09-10,Tennis,600.0,0.0
BK0041,CUST0006,SL0251,2026-09-10,Futsal,850.0,0.0
BK0042,CUST0030,SL0379,2026-09-12,Futsal,850.0,0.0
BK0043,CUST0029,SL0216,2026-09-10,Football (7-a-side),1400.0,0.0
BK0044,CUST0027,SL0057,2026-09-07,Futsal,850.0,0.0
BK0045,CUST0126,SL0008,2026-09-07,Box Cricket,840.0,30.0
BK0046,CUST0028,SL0584,2026-09-16,Box Cricket,1200.0,0.0
BK0047,CUST0111,SL0382,2026-09-12,Futsal,850.0,0.0
BK0048,CUST0109,SL0032,2026-09-07,Badminton,280.0,30.0
BK0049,CUST0051,SL0427,2026-09-13,Tennis,600.0,0.0
BK0050,CUST0015,SL0511,2026-09-14,Futsal,850.0,0.0
BK0051,CUST0017,SL0431,2026-09-13,Tennis,600.0,0.0
BK0052,CUST0128,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0053,CUST0106,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0054,CUST0115,SL0247,2026-09-10,Box Cricket,1200.0,0.0
BK0055,CUST0080,SL0605,2026-09-16,Badminton,400.0,0.0
BK0056,CUST0115,SL0583,2026-09-16,Box Cricket,1200.0,0.0
BK0057,CUST0076,SL0350,2026-09-12,Badminton,400.0,0.0
BK0058,CUST0124,SL0350,2026-09-12,Badminton,400.0,0.0
BK0059,CUST0009,SL0425,2026-09-13,Tennis,600.0,0.0
BK0060,CUST0018,SL0332,2026-09-12,Football (5-a-side),900.0,0.0
BK0061,CUST0146,SL0008,2026-09-07,Box Cricket,840.0,30.0
BK0062,CUST0050,SL0355,2026-09-12,Football (5-a-side),900.0,0.0
BK0063,CUST0017,SL0496,2026-09-14,Tennis,600.0,0.0
BK0064,CUST0042,SL0556,2026-09-15,Tennis,600.0,0.0
BK0065,CUST0100,SL0297,2026-09-11,Tennis,600.0,0.0
BK0066,CUST0009,SL0624,2026-09-16,Tennis,600.0,0.0
BK0067,CUST0119,SL0332,2026-09-12,Football (5-a-side),900.0,0.0
BK0068,CUST0150,SL0193,2026-09-10,Box Cricket,1200.0,0.0
BK0069,CUST0017,SL0240,2026-09-10,Tennis,600.0,0.0
BK0070,CUST0010,SL0506,2026-09-14,Futsal,850.0,0.0
BK0071,CUST0061,SL0220,2026-09-10,Badminton,400.0,0.0
BK0072,CUST0048,SL0250,2026-09-10,Futsal,850.0,0.0
BK0073,CUST0110,SL0032,2026-09-07,Badminton,280.0,30.0
BK0074,CUST0086,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0075,CUST0081,SL0232,2026-09-10,Football (5-a-side),900.0,0.0
BK0076,CUST0005,SL0476,2026-09-14,Badminton,400.0,0.0
BK0077,CUST0031,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0078,CUST0013,SL0624,2026-09-16,Tennis,600.0,0.0
BK0079,CUST0103,SL0429,2026-09-13,Tennis,600.0,0.0
BK0080,CUST0130,SL0380,2026-09-12,Futsal,850.0,0.0
BK0081,CUST0060,SL0096,2026-09-08,Badminton,400.0,0.0
BK0082,CUST0063,SL0236,2026-09-10,Tennis,600.0,0.0
BK0083,CUST0004,SL0028,2026-09-07,Badminton,400.0,0.0
BK0084,CUST0130,SL0444,2026-09-13,Futsal,850.0,0.0
BK0085,CUST0099,SL0628,2026-09-16,Box Cricket,1200.0,0.0
BK0086,CUST0021,SL0364,2026-09-12,Tennis,600.0,0.0
BK0087,CUST0139,SL0388,2026-09-13,Box Cricket,1200.0,0.0
BK0088,CUST0053,SL0339,2026-09-12,Football (7-a-side),1400.0,0.0
BK0089,CUST0066,SL0315,2026-09-11,Futsal,850.0,0.0
BK0090,CUST0116,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0091,CUST0066,SL0636,2026-09-16,Futsal,850.0,0.0
BK0092,CUST0093,SL0435,2026-09-13,Box Cricket,1200.0,0.0
BK0093,CUST0019,SL0008,2026-09-07,Box Cricket,840.0,30.0
BK0094,CUST0106,SL0234,2026-09-10,Tennis,600.0,0.0
BK0095,CUST0046,SL0019,2026-09-07,Football (7-a-side),1400.0,0.0
BK0096,CUST0034,SL0604,2026-09-16,Badminton,400.0,0.0
BK0097,CUST0068,SL0076,2026-09-08,Football (5-a-side),900.0,0.0
BK0098,CUST0094,SL0595,2026-09-16,Football (7-a-side),1400.0,0.0
BK0099,CUST0124,SL0032,2026-09-07,Badminton,280.0,30.0
BK0100,CUST0136,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0101,CUST0106,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0102,CUST0081,SL0354,2026-09-12,Football (5-a-side),900.0,0.0
BK0103,CUST0032,SL0509,2026-09-14,Futsal,850.0,0.0
BK0104,CUST0023,SL0188,2026-09-09,Futsal,850.0,0.0
BK0105,CUST0118,SL0337,2026-09-12,Football (7-a-side),1400.0,0.0
BK0106,CUST0122,SL0301,2026-09-11,Tennis,600.0,0.0
BK0107,CUST0026,SL0414,2026-09-13,Badminton,400.0,0.0
BK0108,CUST0053,SL0403,2026-09-13,Football (7-a-side),1400.0,0.0
BK0109,CUST0097,SL0382,2026-09-12,Futsal,850.0,0.0
BK0110,CUST0051,SL0366,2026-09-12,Tennis,600.0,0.0
BK0111,CUST0130,SL0379,2026-09-12,Futsal,850.0,0.0
BK0112,CUST0043,SL0210,2026-09-10,Football (7-a-side),1400.0,0.0
BK0113,CUST0058,SL0412,2026-09-13,Badminton,400.0,0.0
BK0114,CUST0001,SL0137,2026-09-09,Football (5-a-side),900.0,0.0
BK0115,CUST0052,SL0206,2026-09-10,Football (5-a-side),900.0,0.0
BK0116,CUST0141,SL0008,2026-09-07,Box Cricket,840.0,30.0
BK0117,CUST0036,SL0032,2026-09-07,Badminton,280.0,30.0
BK0118,CUST0073,SL0425,2026-09-13,Tennis,600.0,0.0
BK0119,CUST0084,SL0123,2026-09-08,Futsal,850.0,0.0
BK0120,CUST0063,SL0008,2026-09-07,Box Cricket,840.0,30.0
BK0121,CUST0068,SL0291,2026-09-11,Football (5-a-side),900.0,0.0
BK0122,CUST0084,SL0572,2026-09-15,Futsal,850.0,0.0
BK0123,CUST0109,SL0416,2026-09-13,Badminton,400.0,0.0
BK0124,CUST0079,SL0554,2026-09-15,Tennis,600.0,0.0
BK0125,CUST0008,SL0302,2026-09-11,Tennis,600.0,0.0
BK0126,CUST0083,SL0122,2026-09-08,Futsal,850.0,0.0
BK0127,CUST0107,SL0050,2026-09-07,Box Cricket,1200.0,0.0
BK0128,CUST0142,SL0449,2026-09-14,Box Cricket,1200.0,0.0
BK0129,CUST0072,SL0428,2026-09-13,Tennis,600.0,0.0
BK0130,CUST0097,SL0379,2026-09-12,Futsal,850.0,0.0
BK0131,CUST0054,SL0032,2026-09-07,Badminton,280.0,30.0
BK0132,CUST0060,SL0288,2026-09-11,Badminton,400.0,0.0
BK0133,CUST0054,SL0082,2026-09-08,Football (7-a-side),1400.0,0.0
BK0134,CUST0039,SL0008,2026-09-07,Box Cricket,840.0,30.0
BK0135,CUST0006,SL0032,2026-09-07,Badminton,280.0,30.0
BK0136,CUST0028,SL0369,2026-09-12,Box Cricket,1200.0,0.0
BK0137,CUST0108,SL0636,2026-09-16,Futsal,850.0,0.0
BK0138,CUST0104,SL0455,2026-09-14,Box Cricket,1200.0,0.0
BK0139,CUST0068,SL0459,2026-09-14,Football (5-a-side),900.0,0.0
BK0140,CUST0080,SL0008,2026-09-07,Box Cricket,840.0,30.0
BK0141,CUST0147,SL0482,2026-09-14,Football (5-a-side),900.0,0.0
BK0142,CUST0065,SL0170,2026-09-09,Tennis,600.0,0.0
BK0143,CUST0019,SL0386,2026-09-13,Box Cricket,1200.0,0.0
BK0144,CUST0074,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0145,CUST0001,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0146,CUST0097,SL0016,2026-09-07,Football (5-a-side),630.0,30.0
BK0147,CUST0103,SL0032,2026-09-07,Badminton,280.0,30.0
BK0148,CUST0107,SL0578,2026-09-16,Box Cricket,1200.0,0.0
BK0149,CUST0002,SL0556,2026-09-15,Tennis,600.0,0.0
BK0150,CUST0070,SL0456,2026-09-14,Box Cricket,1200.0,0.0
BK0151,CUST0096,SL0162,2026-09-09,Football (5-a-side),900.0,0.0
BK0152,CUST0074,SL0032,2026-09-07,Badminton,280.0,30.0
BK0153,CUST0007,SL0171,2026-09-09,Tennis,600.0,0.0
BK0154,CUST0120,SL0143,2026-09-09,Football (5-a-side),900.0,0.0
BK0155,CUST0079,SL0042,2026-09-07,Tennis,600.0,0.0
BK0156,CUST0101,SL0008,2026-09-07,Box Cricket,840.0,30.0
BK0157,CUST0111,SL0379,2026-09-12,Futsal,850.0,0.0
BK0158,CUST0101,SL0577,2026-09-16,Box Cricket,1200.0,0.0
BK0159,CUST0033,SL0080,2026-09-08,Football (5-a-side),900.0,0.0
BK0160,CUST0047,SL0455,2026-09-14,Box Cricket,1200.0,0.0
BK0161,CUST0053,SL0339,2026-09-12,Football (7-a-side),1400.0,0.0
BK0162,CUST0022,SL0028,2026-09-07,Badminton,400.0,0.0
BK0163,CUST0044,SL0200,2026-09-10,Box Cricket,1200.0,0.0
BK0164,CUST0128,SL0032,2026-09-07,Badminton,280.0,30.0
BK0165,CUST0115,SL0119,2026-09-08,Box Cricket,1200.0,0.0
BK0166,CUST0057,SL0487,2026-09-14,Football (5-a-side),900.0,0.0
BK0167,CUST0081,SL0168,2026-09-09,Football (5-a-side),900.0,0.0
BK0168,CUST0011,SL0342,2026-09-12,Football (7-a-side),1400.0,0.0
BK0169,CUST0050,SL0331,2026-09-12,Football (5-a-side),900.0,0.0
BK0170,CUST0061,SL0475,2026-09-14,Badminton,400.0,0.0
BK0171,CUST0001,SL0073,2026-09-08,Football (5-a-side),900.0,0.0
BK0172,CUST0119,SL0331,2026-09-12,Football (5-a-side),900.0,0.0
BK0173,CUST0143,SL0008,2026-09-07,Box Cricket,840.0,30.0
